tracker,data_type,platform,transmission_type,count
bugsnag,rooted,android,anonymously,59
bugsnag,model,android,anonymously,60
bugsnag,language,android,anonymously,53
bugsnag,ram_usage,android,anonymously,51
mopub,os,android,anonymously,25
mopub,model,android,anonymously,27
ms_appcenter,app_id,android,anonymously,96
ms_appcenter,app_version,android,anonymously,96
ms_appcenter,model,android,anonymously,96
ms_appcenter,os,android,anonymously,96
ms_appcenter,language,android,anonymously,96
ms_appcenter,timezone,android,anonymously,92
ms_appcenter,screen_size,android,anonymously,92
ms_appcenter,carrier,android,anonymously,92
<indicators>,local_ips,android,anonymously,30
adjust,app_id,android,pseudonymously,197
adjust,app_version,android,pseudonymously,197
adjust,idfa,android,pseudonymously,197
adjust,other_uuids,android,pseudonymously,197
adjust,language,android,pseudonymously,197
adjust,model,android,pseudonymously,197
adjust,screen_size,android,pseudonymously,196
adjust,os,android,pseudonymously,197
unity,other_uuids,android,pseudonymously,180
onesignal,other_uuids,android,pseudonymously,18
onesignal,timezone,android,pseudonymously,53
onesignal,location,android,pseudonymously,11
<indicators>,location,ios,anonymously,206
<indicators>,local_ips,ios,anonymously,34
mopub,app_version,ios,pseudonymously,34
mopub,app_id,ios,pseudonymously,34
mopub,idfv,ios,pseudonymously,31
mopub,os,ios,pseudonymously,31
mopub,model,ios,pseudonymously,32
mopub,timezone,ios,pseudonymously,11
mopub,carrier,ios,pseudonymously,11
mopub,screen_size,ios,pseudonymously,11
unity,other_uuids,ios,pseudonymously,67
onesignal,app_id,ios,pseudonymously,96
onesignal,idfa,ios,pseudonymously,48
onesignal,other_uuids,ios,pseudonymously,94
onesignal,os,ios,pseudonymously,94
onesignal,model,ios,pseudonymously,94
onesignal,carrier,ios,pseudonymously,93
onesignal,rooted,ios,pseudonymously,94
onesignal,language,ios,pseudonymously,94
onesignal,location,ios,pseudonymously,72
adjust,country,android,pseudonymously,189
chartboost,app_id,android,pseudonymously,32
chartboost,app_version,android,pseudonymously,32
chartboost,idfa,android,pseudonymously,32
chartboost,model,android,pseudonymously,32
chartboost,os,android,pseudonymously,32
chartboost,language,android,pseudonymously,32
chartboost,timezone,android,pseudonymously,32
chartboost,user_agent,android,pseudonymously,32
chartboost,orientation,android,pseudonymously,32
chartboost,carrier,android,pseudonymously,10
chartboost,rooted,android,pseudonymously,32
chartboost,screen_size,android,pseudonymously,32
chartboost,network_connection_type,android,pseudonymously,29
chartboost,country,android,pseudonymously,32
rayjump,os,android,anonymously,37
rayjump,orientation,android,anonymously,43
rayjump,model,android,anonymously,37
rayjump,language,android,anonymously,37
rayjump,user_agent,android,anonymously,37
rayjump,screen_size,android,anonymously,37
rayjump,app_id,android,anonymously,43
rayjump,app_version,android,anonymously,43
unity,idfa,android,pseudonymously,47
unity,os,android,pseudonymously,47
facebook,idfa,ios,pseudonymously,115
facebook,other_uuids,ios,pseudonymously,129
<indicators>,hashed_idfa,android,pseudonymously,30
onesignal,timezone,ios,pseudonymously,48
bugsnag,app_version,ios,anonymously,57
bugsnag,app_id,ios,anonymously,46
bugsnag,os,ios,anonymously,56
bugsnag,rooted,ios,anonymously,55
bugsnag,model,ios,anonymously,56
bugsnag,language,ios,anonymously,47
bugsnag,ram_usage,ios,anonymously,47
branchio,idfv,ios,pseudonymously,99
branchio,other_uuids,ios,pseudonymously,99
branchio,model,ios,pseudonymously,100
branchio,screen_size,ios,pseudonymously,102
branchio,network_connection_type,ios,pseudonymously,97
branchio,os,ios,pseudonymously,102
branchio,language,ios,pseudonymously,100
branchio,local_ips,ios,pseudonymously,97
branchio,architecture,ios,pseudonymously,97
branchio,carrier,ios,pseudonymously,97
branchio,user_agent,ios,pseudonymously,98
branchio,country,ios,pseudonymously,100
branchio,app_version,ios,pseudonymously,102
branchio,app_id,ios,pseudonymously,100
adjust,idfa,ios,pseudonymously,49
adjust,language,ios,pseudonymously,29
adjust,country,ios,pseudonymously,29
adjust,other_uuids,ios,pseudonymously,72
ms_appcenter,other_uuids,android,pseudonymously,61
branchio,idfa,android,pseudonymously,60
branchio,other_uuids,android,pseudonymously,69
branchio,model,android,pseudonymously,69
branchio,screen_size,android,pseudonymously,69
branchio,network_connection_type,android,pseudonymously,59
branchio,os,android,pseudonymously,69
branchio,language,android,pseudonymously,69
branchio,local_ips,android,pseudonymously,69
branchio,architecture,android,pseudonymously,59
branchio,carrier,android,pseudonymously,59
branchio,country,android,pseudonymously,67
branchio,app_version,android,pseudonymously,69
<indicators>,bssid,android,pseudonymously,11
ironsource,model,android,pseudonymously,27
ironsource,os,android,pseudonymously,28
ironsource,idfa,android,pseudonymously,25
ironsource,network_connection_type,android,pseudonymously,27
ironsource,app_id,android,pseudonymously,27
ironsource,app_version,android,pseudonymously,25
branchio,app_id,android,pseudonymously,21
yandex,idfa,ios,pseudonymously,29
yandex,idfv,ios,pseudonymously,29
yandex,other_uuids,ios,pseudonymously,29
yandex,os,ios,pseudonymously,29
yandex,model,ios,pseudonymously,29
yandex,screen_size,ios,pseudonymously,29
yandex,language,ios,pseudonymously,29
yandex,rooted,ios,pseudonymously,29
yandex,app_id,ios,pseudonymously,29
yandex,app_version,ios,pseudonymously,29
mopub,other_uuids,ios,pseudonymously,3
ioam,app_id,android,pseudonymously,25
ioam,app_version,android,pseudonymously,25
ioam,hashed_idfa,android,pseudonymously,24
ioam,other_uuids,android,pseudonymously,25
ioam,model,android,pseudonymously,25
ioam,os,android,pseudonymously,25
ioam,language,android,pseudonymously,25
ioam,carrier,android,pseudonymously,25
ioam,screen_size,android,pseudonymously,25
ioam,country,android,pseudonymously,25
mopub,timezone,android,pseudonymously,5
mopub,carrier,android,pseudonymously,5
mopub,screen_size,android,pseudonymously,5
