cookie_name,cookie_value,app_id,platform,category,company
IDE,AHWqTUlfWFOQgtZJiqERNM94CUj6fCPBksYYy8O7hoQTxC1rXf7wHDybeigC0uaC0t0,de.bfv.ios,ios,Marketing,Google
IDE,AHWqTUlgfB7wedtxoSrNgRqeZ31wPsZiS99c7xMN_XzTxtQMWlvw_rvikbcbQMQF214,com.motorsportmagazin,android,Marketing,Google
IDE,AHWqTUlHtqV2h5FEgwrraxkb4uWyvaxDVMkT3-SkeO4_YW3m5Mho7J5s_-wbi5KKfdw,com.documentreader.documentapp.filereader,android,Marketing,Google
IDE,AHWqTUlHZy0qqi9ZUBMSvb86Jop5Ysb0yUQUMyMMBMPf1yZJHldNI8uaF3gu-PHMkyo,com.gma.water.sort.puzzle,ios,Marketing,Google
IDE,AHWqTUlI8uUy5tyreBhRKQxg0YYUNLtXldLE9cwrnM9jqvvBI7kKBEfUjc7kRf93Tts,com.outfit7.talkingben,android,Marketing,Google
IDE,AHWqTUlIJHdeMdROSYcuoO5mzGtN3QU0fFen2Oc8jpGh5jlsveog1gO5NInhGMZnKc0,com.freemusic.offline.bus,android,Marketing,Google
IDE,AHWqTUliosc7HqOYRJnkysfUh8phawLdfkB2ZLlFBh9i2ln4Po-eFORl96G_kQS6D4A,com.softissimo.ReversoContext,ios,Marketing,Google
IDE,AHWqTUljc8m36zKlvfAe1ZS_Dy0OQ0hi8c5Vm1B0LXAX59g4uxgbHhYYdIAaDPpYHMs,com.gamulator.war.robots2020.fighting.robots.strike,android,Marketing,Google
IDE,AHWqTUlJXAGYSpA2it7H6P8HmIXHJhEIPKd-Qe6ga1Rbi4_ukqsb2gLwa0w-FRPQau8,beatmaker.edm.musicgames.PianoGames,android,Marketing,Google
IDE,AHWqTUlKchQkmw5OWaG1ahT4KdsSWrNL_wDVVAbHtT-MLIMSPzN7oBtFdM6L9JwKz94,com.lajeuneandassociatesllc.barberchopdev,android,Marketing,Google
IDE,AHWqTUllHN5PhKc5Ry5FO8cLS1mRAb6p2N4hh3Y3FvgFB1XwctOKpUGGg-bsQjTztS4,com.h20soft.slideshow.videomaker.videoeditor,android,Marketing,Google
IDE,AHWqTUl_MoV-rQyD3KMObS70cSIUc8U-qGWIf-BTzT4aVD7VcedjAEfX6zDK_x-dB94,com.create.pottery.paint.by.color,android,Marketing,Google
IDE,AHWqTUlmPkIoRHaz5TbZI_lGNqRfAA-60Lw-nn4XNCylxFrJJ4dz9WExL1iKwl4hmqM,org.freevpn.vpn,ios,Marketing,Google
IDE,AHWqTUlMrzo9sqAyLaksJxANv0W0sC57T_jztFlJYU5D1RSrHNhkXrgPH_J_RhTTANc,com.slime.making.diy.satisfying.fluffy.factory.squishy.jelly.maker.game,android,Marketing,Google
IDE,AHWqTUlO7wo59bqUTu69pJMyd0lfUzElPGRM3Ax6mCgRNdo3LNH3fJgnQRtL8CJOKcY,ru.otkritki.greetingcard,android,Marketing,Google
