name,id,count
Notify,646,23
Telefonica Investigación y Desarrollo S.A.U,650,23
Skaze,652,23
SoundCast,662,23
Digital East GmbH,665,23
"WhatRocks Inc. ",668,23
"Duration Media, LLC.",674,23
BusinessClick,676,23
MyTraffic,681,23
Cookie Market LTD,683,23
MISSENA,687,23
Lifesight Pte. Ltd.,691,23
Kwanko,702,23
OneFootball GmbH,708,23
"NC Audience Exchange, LLC (NewsIQ)",709,23
SITU8ED SA,711,23
Synkd Ltd.,712,23
Dataseat Ltd,713,23
Online Advertising Network Sp. z o.o.,719,23
Beaconspark Ltd,721,23
Between Exchange,724,23
Pinpoll GmbH,727,23
Cavai AS &amp; UK,729,23
Anzu Virtual Reality LTD,733,23
adbility media GmbH,738,23
Blingby LLC,739,23
Audiencerate LTD,742,23
AUDIOMOB LTD,748,23
THE NEWCO S.R.L.,750,23
VEXPRO TECHNOLOGIES LTD,760,23
Protected Media LTD,762,23
Grabit Interactive Media Inc dba KERV Interctive,765,23
Global Media Group Services Limited,768,23
MEDIAMETRIE,769,23
FeedAd GmbH,781,23
"Aarki, Inc.",806,23
SOMQUERY SOMTAG - (SevenOne Media),857,23
Webgains GmbH,870,23
Prebid.org,887,23
Imonomy,921,23
Exit Bee Limited,1027,23
VIADS ADVERTISING S.L.,1036,23
Ströer Digital Media GmbH,1057,23
onlineumfragen.com GmbH,1061,23
Venatus Media Limited,26,22
ETARGET SE,29,22
"ShareThis, Inc",33,22
Skimbit Ltd,46,22
"NetSuccess, s.r.o.",48,22
PIXIMEDIA SAS,127,22
"Snapsort Inc., operating as Sortable",145,22
Liveintent Inc.,148,22
Reveal Mobile Inc,158,22
"Underdog Media LLC ",159,22
Collective Europe Ltd.,179,22
Rezonence Limited,194,22
AdElement Media Solutions Pvt Ltd,196,22
"Revcontent, LLC",203,22
ARMIS SAS,215,22
MNTN,230,22
Bucksense Inc,235,22
PowerLinks Media Limited,236,22
7Hops.com Inc. (ZergNet),240,22
Ermes,244,22
Onnetwork Sp. z o.o.,255,22
Wunderkind Corporation,256,22
Rebold Marketing & Communication SLU,266,22
"Marfeel Solutions, SL",270,22
Golden Bees,274,22
CentralNic Poland sp. z o.o.,277,22
Readpeak Oy,290,22
Cuebiq,298,22
AdClear GmbH,299,22
Adevinta Spain S.L.U.,310,22
Accorp Sp. z o.o.,318,22
"Clipcentric, Inc.",319,22
Ziff Davis LLC,321,22
Footballco Media Limited,323,22
ad6media,331,22
Beachfront Media LLC,335,22
Telecoming S.A.,336,22
"SheMedia, LLC",337,22
Ezoic Inc.,347,22
RevX,375,22
Vidoomy Media SL,380,22
Proxi.cloud sp. z.o.o,427,22
"SINGLESPOT SAS ",435,22
Playbuzz Ltd (aka EX.CO),444,22
Targetspot Belgium SPRL,448,22
"GDMServices, Inc. d/b/a FiksuDSP",455,22
B2B Media Group GmbH,461,22
Bidstack Limited,462,22
Haensel AMS GmbH,467,22
"Flexoffers.com, LLC",471,22
Sub2 Technologies Ltd,473,22
"UberMedia, Inc.",482,22
Carbon (AI) Limited,493,22
Automattic Ads,496,22
Newsroom AI Ltd,519,22
RMSi Radio Marketing Service interactive GmbH,554,22
Kairos Fire,569,22
Czech Publisher Exchange z.s.p.o.,570,22
Ve Global UK Limited,579,22
"Sourcepoint Technologies, Inc. (non-CMP)",590,22
InsurAds Technologies SA.,596,22
Better Banners A/S,597,22
Adserve.zone / Artworx AS,613,22
"Seznam.cz, a.s.",621,22
Norstat AS,624,22
Gamoshi Ltd,644,22
Noster Finance S.L.,645,22
Content Ignite,656,22
BLIINK SAS,658,22
Research and Analysis of Media in Sweden AB,659,22
"adMarketplace, Inc.",664,22
BeOp,666,22
"Timehop, Inc.",670,22
Mediaforce LTD,671,22
Radio Net Media Limited,682,22
Arkeero,685,22
ADWAYS SAS,697,22
Upwave Inc.,714,22
BidBerry SRL,715,22
Audience Network,717,22
XChange by SFBX®,718,22
Brand Advance Ltd,741,22
Justtag Sp. z o.o.,745,22
Good-Loop Ltd,749,22
"DistroScale, Inc.",754,22
Lucidity,764,22
MARKETPERF CORP,770,22
360e-com Sp. z o.o.,773,22
Wagawin GmbH,774,22
Mars Media Group,776,22
One Planet Only,777,22
Discover-Tech ltd,778,22
Adtarget Medya A.S.,779,22
AirGrid LTD,782,22
Audienzz AG,783,22
lead alliance GmbH,810,22
Eskimi,814,22
retailAds GmbH &amp; Co. KG,819,22
United Internet Media GmbH,831,22
Bring! Labs AG,836,22
Ingenious Technologies AG,871,22
belboon GmbH,946,22
Spoods GmbH,951,22
Netpoint Media GmbH,982,22
Axiom Media Connect,983,22
iProspect GmbH,991,22
Samsung Ads,1015,22
UniCredit S.p.A.,1040,22
"1020, Inc. dba Placecast and Ericsson Emodo",141,21
Admedo Technology Ltd,151,21
Bigabid Media ltd,218,21
Little Big Data sp. z o.o.,497,21
"Consumable, Inc.",591,21
"Performax.cz, s.r.o.",732,21
BidMachine Inc.,736,21
"Fandom, Inc.",756,21
Nubo LTD,784,21
Media Square,791,21
"Kubient Inc. ",794,21
Adverticum cPlc.,798,21
Adpone SL,799,21
Click Tech Limited,803,21
iPROM,811,21
"NoBid, Inc.",816,21
vitrado GmbH,821,21
Adverty AB (publ),822,21
42 Ads GmbH,824,21
EDGE NPD Sp. z o.o.,825,21
DNA-I.COM,826,21
Unilever Polska sp. z o.o.,829,21
Disqus,833,21
ADRENALEAD,834,21
Cazamba Serviços de Internet Ltda,840,21
"PubWise, LLLP",842,21
"LeadsRx, Inc.",843,21
SPICY MOBILE Sp z o.o. Sp.k.,844,21
Crowdy News Ltd,847,21
BSmartData GmbH,848,21
Epom Ltd.,849,21
"Publisher First, Inc.",850,21
Strossle International AB,851,21
"eMarketingSolutions, Online Marketing S.L.",854,21
Adnuntius AS,855,21
"Mediavine, Inc.",858,21
Publica LLC,860,21
Triple13 Ltd,861,21
Truvid Inc.,862,21
I.R.V. D.O.O.,864,21
HEIMSPIEL Medien GmbH & Co KG,865,21
YieldLift LLC,866,21
Converto AG,868,21
Brave People Ltd.,869,21
PRECISO SRL,874,21
3Q nexx GmbH,876,21
Experian Limited,877,21
Natív Hirdetés Korlátolt Felelősségű Társaság,878,21
Vidstart LTD,879,21
Quantyoo GmbH &amp; Co. KG,880,21
Hillside (Sports) GP Limited,881,21
NumberEight Technologies Ltd,882,21
Listonic Sp. z o.o.,884,21
GADSME,888,21
Admo.tv (Clickon),889,21
Channel Pilot Solutions GmbH,890,21
"ANINPRO-CREATIVE, S.L.",891,21
TIMEONE PERFORMANCE,893,21
Threedium,894,21
