app_id,tracker,data_type,transmission_type,platform
de.inforoad.cleverTanken,ioam,country,pseudonymously,ios
de.inforoad.cleverTanken,facebook,os,anonymously,ios
com.kptncook.KptnCook,firebase,app_id,pseudonymously,ios
com.kptncook.KptnCook,firebase,app_version,pseudonymously,ios
com.kptncook.KptnCook,firebase,os,pseudonymously,ios
com.kptncook.KptnCook,firebase,idfv,pseudonymously,ios
com.flightradar24free,<indicators>,model,anonymously,android
com.flightradar24free,<indicators>,app_id,anonymously,android
com.flightradar24free,facebook,app_id,pseudonymously,android
com.flightradar24free,facebook,app_version,pseudonymously,android
com.flightradar24free,facebook,idfa,pseudonymously,android
com.flightradar24free,facebook,other_uuids,pseudonymously,android
com.flightradar24free,facebook,model,pseudonymously,android
com.flightradar24free,facebook,emulator,pseudonymously,android
com.flightradar24free,facebook,rooted,pseudonymously,android
com.flightradar24free,facebook,carrier,pseudonymously,android
com.flightradar24free,facebook,screen_size,pseudonymously,android
com.flightradar24free,facebook,os,pseudonymously,android
com.flightradar24free,facebook,is_charging,pseudonymously,android
com.flightradar24free,facebook,battery_percentage,pseudonymously,android
com.flightradar24free,facebook,ram_usage,pseudonymously,android
com.flightradar24free,facebook,disk_usage,pseudonymously,android
com.flightradar24free,facebook,accelerometer,pseudonymously,android
com.flightradar24free,facebook,rotation,pseudonymously,android
com.flightradar24free,facebook,language,pseudonymously,android
com.flightradar24free,doubleclick,model,anonymously,android
com.flightradar24free,doubleclick,volume,anonymously,android
com.flightradar24free,doubleclick,language,anonymously,android
com.flightradar24free,doubleclick,network_connection_type,anonymously,android
com.flightradar24free,doubleclick,app_name,anonymously,android
com.flightradar24free,firebase,app_id,pseudonymously,android
com.flightradar24free,firebase,app_version,pseudonymously,android
com.flightradar24free,firebase,idfa,pseudonymously,android
com.flightradar24free,firebase,os,pseudonymously,android
com.meteoblue.meteoblue-weather,<indicators>,location,anonymously,ios
com.meteoblue.meteoblue-weather,<indicators>,app_id,anonymously,ios
com.meteoblue.meteoblue-weather,firebase,app_id,pseudonymously,ios
com.meteoblue.meteoblue-weather,firebase,app_version,pseudonymously,ios
com.meteoblue.meteoblue-weather,firebase,os,pseudonymously,ios
com.meteoblue.meteoblue-weather,firebase,idfv,pseudonymously,ios
com.agminstruments.drumpadmachine,<indicators>,idfa,pseudonymously,ios
com.agminstruments.drumpadmachine,<indicators>,app_id,anonymously,ios
vidma.screenrecorder.videorecorder.videoeditor.pro,<indicators>,app_id,anonymously,android
vidma.screenrecorder.videorecorder.videoeditor.pro,facebook,app_id,pseudonymously,android
vidma.screenrecorder.videorecorder.videoeditor.pro,facebook,app_version,pseudonymously,android
vidma.screenrecorder.videorecorder.videoeditor.pro,facebook,other_uuids,pseudonymously,android
vidma.screenrecorder.videorecorder.videoeditor.pro,facebook,model,pseudonymously,android
vidma.screenrecorder.videorecorder.videoeditor.pro,facebook,emulator,pseudonymously,android
vidma.screenrecorder.videorecorder.videoeditor.pro,facebook,rooted,pseudonymously,android
